food_category_id,FF Food description,FF_Component,SR Mean per 100g,FF Mean per 100g,PC
18,"Bread, white, commercially prepared","Fiber, total dietary",2.7,2.3,14.814814814814827
20,"Millet, whole grain","Selenium, Se",2.7,23.1,755.5555555555557
20,"Buckwheat, whole grain",Thiamin,0.101,0.5388,433.4653465346534
20,"Flour, barley","Sodium, Na",4.0,20.33,408.24999999999994
20,"Flour, rice, white, unenriched","Folate, total",4.0,16.0,300.0
20,"Flour, buckwheat","Selenium, Se",5.7,15.7,175.43859649122805
20,"Flour, wheat, all-purpose, unenriched, unbleached",Thiamin,0.12,0.298,148.33333333333334
20,"Flour, bread, white, enriched, unbleached",Vitamin B-6,0.037,0.079,113.51351351351353
20,"Flour, spelt, whole grain","Sodium, Na",8.0,0.0,100.0
20,"Rice, brown, long grain, unenriched, raw","Sodium, Na",5.0,0.0,100.0
20,"Flour, wheat, all-purpose, unenriched, unbleached",Riboflavin,0.04,0.0,100.0
